# Every key this machine can say, and the English under it.
#
# GENERATED. Do not edit by hand:
#   UPDATE_VOCABULARY_SNAPSHOT=1 cargo test -p alo-saying \
#     --test a_published_sentence_keeps_its_key
#
# It exists so that the English under a published key cannot move without somebody
# answering whether the meaning moved with it. A translation is keyed, so editing the
# English under a key leaves every translation of it rendering perfectly and saying
# something this product no longer says. ADR 0068 decides what may change; reworded.txt
# beside this file is where a rewording that kept its key says why the meaning held.
#
# One line per key: the key, a tab, then the English exactly as the crate declares it.

access.a-setting	a setting
choosing.settings.not-understood	your settings at {path} are not settings alo OS can read, so nothing has been chosen to answer questions — nothing in the file has been used
choosing.settings.provider-needs-a-newer-shape	your settings at {path} choose a provider, which settings must say format {reads} to do, and they say format {format} — so nothing in the file has been used
choosing.settings.setup-needs-a-newer-shape	your settings at {path} say you have been asked what this machine should do, which settings must say format {reads} to record, and they say format {format} — so nothing in the file has been used
choosing.settings.weights-twice	your settings at {path} list weights called {model} twice, so nothing said which of them answered a question, and nothing in the file has been used
choosing.settings.weights-unnamed	your settings at {path} list weights with no name, and there would be nothing to ask for, so nothing in the file has been used
clipboard.copied-over	What you copied is no longer there to paste: something else has been copied since
clipboard.could-not-give	The application this was copied from did not hand it over. Try copying it again
clipboard.form.an-image	an image
clipboard.form.files	files
clipboard.form.text	text
clipboard.no-longer-offered	What you copied is no longer there to paste: the application it was copied from has given it up
clipboard.not-that-form	This cannot be pasted as {as_what}: the application it was copied from did not offer it in that form
clipboard.nothing-copied	There is nothing to paste: nothing has been copied yet
context.document.could-lead-elsewhere	{document} has .. in it and could lead somewhere else — offer the path the document really has
context.document.not-a-full-path	{document} is not a full path — offer the whole path to the open document, because a path that starts anywhere else means a different file depending on where it is read
context.document.nothing-named	there is no document to offer — offer the file that is open, or offer nothing
context.document.the-whole-machine	{document} is the whole machine rather than a document — offer the file that is open, because what is offered at invocation becomes a grant over exactly that file
context.nothing-offered	nothing from your screen was offered with this question
context.the-document	the document you have open: {document}
context.the-selection	the text you had selected
context.the-window	the window in front of you: {window}
context.window-called	{title} ({application})
context.window.no-application	a window with no application cannot be offered — name the application the window belongs to, which is what a verb would have to name to reach it
context.window.not-an-identifier	{application} is not an identifier — an identifier has no spaces and no folders in it, so no verb could ever name this window
converting.carried.everything	Nothing was lost: every font, field, comment and linked picture in the original was checked, and the copy carries all of it
converting.carried.not-everything	The copy does not carry everything in the original. This is what is different
converting.converted	{copy} is a PDF copy of {file}, made on this machine. {file} is exactly as it was
converting.copy-not-checked	The copy could not be checked for what it left out, so it was not kept: a copy is never given without saying what it lost. The original is exactly as it was
converting.copy-not-created	A copy could not be made in that folder, so nothing was converted. Check that the folder is still there and has room
converting.copy-not-written	The copy could not be written into that folder, so it was not kept. Check that the folder has room, and try again
converting.could-not-convert	This document could not be converted, so no copy was made and the original is exactly as it was. Whoever sent it can save it again, or send it as a PDF
converting.field.a-random-number	a formula using a random number
converting.field.author	a person's name
converting.field.date	a date
converting.field.file-name	the document's file name
converting.field.merge	a mail merge field
converting.field.the-current-moment	a formula using today's date or the time now
converting.field.time	a time
converting.more-than-one-name	This document also appears under another name somewhere else on this machine, so it was not read and nothing was converted. Copy it into the folder first, and convert the copy
converting.name-taken	There is already a file called {copy} in that folder, so nothing was converted and nothing was replaced. Choose another folder, or rename that file first
converting.not-a-kind-this-converts	This is {what}, which this machine does not convert, so nothing was converted and the file is exactly as it was
converting.not-carried.comments	The original has comments. The copy does not show them; open the original on a machine with an office application to read them
converting.not-carried.field	The original has {field} that changes by itself when the document is opened. The copy shows it as it was at the moment it was converted, and it will not change
converting.not-carried.font	The font {font} is not on this machine, so the text set in it is shown in a similar font instead, and lines and pages can break in different places
converting.not-carried.linked-data	The original takes some of its contents from another file kept somewhere else. It was not fetched, so the copy shows what the original held when it was last saved
converting.not-carried.linked-picture	The original shows a picture kept somewhere else rather than inside the document. It was not fetched, so the copy does not have it. Whoever sent the document can send the picture itself
converting.not-carried.linked-something-else	The original includes something kept somewhere else rather than inside the document. It was not fetched, so the copy does not have it
converting.not-carried.linked-template	The original is attached to a template kept somewhere else. It was not fetched, so anything the document takes from it is not in the copy
converting.not-carried.macros	The original contains macros. They were not run, and they are not in the copy
converting.not-carried.tracked-changes	The original has tracked changes. The copy does not show which parts were changed, or by whom
converting.not-converting	What was approved was not converting a document, so nothing was converted
converting.nothing-here-converts	The part of this machine that converts documents did not respond, so nothing was converted. Restarting this machine starts it again
converting.nothing-was-converted	Nothing was converted, and the file is exactly as it was
converting.original-not-checked	What is inside this document could not be checked, so this machine could not say what a copy would lose, and no copy was made. The original is exactly as it was
converting.too-large	This document is too large to convert on this machine, so no copy was made and the original is exactly as it was. Whoever sent it can send it as a PDF
converting.too-slow	Converting this document took too long and was stopped, so no copy was made and the original is exactly as it was
converting.unreadable	The document could not be read, so nothing was converted. Check that it is still where it was and try again
converting.verb.convert-document.file	the document to convert
converting.verb.convert-document.into	the folder the copy is put in
converting.verb.convert-document.purpose	convert a document into a PDF copy, and say what the copy could not carry over
converting.verb.convert-document.sentence	convert {file} into a PDF copy in {into}, leaving the original as it is
corridor.at-the-door.another-turn-is-open	{machine} is busy with another machine at the moment. Try again shortly.
corridor.at-the-door.machine-could-not	{machine} could not do this — the file may be gone, or its disk may be full.
corridor.at-the-door.no-proof	{machine} received this with nothing to show it came from here. Nothing was done.
corridor.at-the-door.not-a-verb	{machine} could not read what was sent as a verb. Nothing was done.
corridor.at-the-door.not-bounded	{machine} could not put a boundary around this, so it did not run.
corridor.at-the-door.not-for-this-wire	{machine} did not recognise the request. Its alo OS may be older or newer than this one.
corridor.at-the-door.not-granted-there	This has not been granted on {machine}. Only the person at that machine can grant it.
corridor.at-the-door.the-wrong-door	{machine} refused this: a change has to wait for approval there, and a read does not wait.
corridor.at-the-door.turned-away	{machine} does not do that, or not with what was given. Nothing was done.
corridor.not-crossed.not-an-answer	{machine} answered with something this machine could not read. Nothing is known about what happened there.
desktops.always.approval-surface	What is waiting for your approval
desktops.always.egress-indicator	What is leaving this machine
desktops.always.the-agent	The agent
desktops.desktop.numbered	Desktop {number}
desktops.gestures.not-read	Your gesture settings could not be read. The file has been kept for you to repair.
desktops.gestures.not-written	Your gesture settings could not be saved. The previous file has been kept.
desktops.name.not-words	that name has something in it that is not writing, so it has been left as it was — it would not read as what you typed
desktops.name.nothing	a desktop's name needs at least one letter, so it has been left as it was
desktops.name.too-long	a desktop's name can be {most} characters at most, so it has been left as it was
desktops.refused.a-promise	this is part of alo OS itself and is on every desktop, so it cannot be put on one or closed
desktops.refused.chord-is-a-switch	another desktop already answers to that combination, so it has been left as it was — choose another
desktops.refused.chord-is-taken	one of your keyboard shortcuts already uses that combination, so it has been left as it was — change that shortcut first, or choose another combination
desktops.refused.name-is-taken	another desktop on this screen is already called that, so the name has been left as it was
desktops.refused.no-desktop-that-way	there is no desktop that way — this is the end of the row
desktops.refused.no-such-desktop	that desktop is no longer there, so nothing has changed
desktops.refused.no-such-position	there is no desktop at that number on this screen, so nothing has changed
desktops.refused.no-such-window	that window is not on any desktop of this screen, so nothing has changed
desktops.refused.the-last-desktop	this is the only desktop on this screen, and a screen always has one — add another before removing this
desktops.refused.too-many-desktops	there is no room for another desktop on this screen — alo OS holds {most}
desktops.switch.next	Next desktop
desktops.switch.previous	Previous desktop
displays.a-schedule-or-the-sun	night light follows a schedule or the sun, and this asks for both
displays.already-plugged-in	there is already a screen plugged in there
displays.as-you-left-them	Your screens are arranged the way you last left them
displays.begins-and-ends-at-once	night light cannot begin and end at the same moment — choose two different times
displays.did-not-fit	Your screens have changed since you arranged them, so alo OS has put them side by side again. Your arrangement is still here for when they change back.
displays.half-a-screen	one screen in this arrangement is written down as neither what a screen says about itself nor the socket it is plugged into, so alo OS cannot tell which screen it is
displays.kept.another-format	your screen arrangements at {path} were written for a different alo OS than this one, so nothing in the file has been used and your screens have been laid out side by side
displays.kept.not-expressible	this alo OS could not write that change into your screen arrangements at {path} in a way it can read back again, so nothing about your screens has been changed
displays.kept.not-read	your screen arrangements at {path} could not be read, so your screens have been laid out side by side
displays.kept.not-replaced	your screen arrangements at {path} could not be read, so that change has not been written over them and nothing about your screens has been changed — correct the file, or put your screen arrangements back as alo OS ships them
displays.kept.not-understood	your screen arrangements at {path} are not arrangements alo OS can read, so nothing in the file has been used and your screens have been laid out side by side
displays.kept.not-understood-at	your screen arrangements at {path} stop making sense at line {line}, so nothing in the file has been used and your screens have been laid out side by side
displays.kept.not-written	your screen arrangements at {path} could not be written, so nothing about your screens has been changed
displays.kept.unknown-key	your screen arrangements at {path} say {key}, which is not something alo OS knows about screens, so nothing in the file has been used
displays.more-than-one-main-screen	only one of your screens can be the main one, and this arrangement names more than one
displays.name-spaced	{name} begins or ends with a space, so it would never match the screen it looks like — take the space out
displays.new-here	{display} has not been used with this machine before, so alo OS has put it beside your other screens and chosen a size for it from how large it is
displays.no-main-screen	one of your screens has to be the main one, and this arrangement names none
displays.no-screens	there are no screens here, so there is nothing to arrange
displays.not-a-latitude	{asked} is not a latitude — a latitude runs from -90 in the far south to 90 in the far north
displays.not-a-longitude	{asked} is not a longitude — a longitude runs from -180 in the far west to 180 in the far east
displays.not-a-name	name the screen — it is what the screen says about itself, or the socket it is plugged into
displays.not-a-time	{name} is not a time of day — write it as 22:00, on a twenty-four hour clock
displays.not-a-warmth	{asked} is not a warmth a screen can be drawn at — choose between {least} and {most}
displays.not-plugged-in	there is no screen plugged in there
displays.nothing-remains	that is the only screen this machine has, so what is open on it has nowhere to go
displays.remembered-by-its-socket	{display} does not say which screen it is, so alo OS remembers it by the socket it is plugged into — another screen plugged into that socket will be set up the same way
displays.screen.at-another-socket	Socket {number}
displays.screen.at-displayport	DisplayPort socket {number}
displays.screen.at-dvi	DVI socket {number}
displays.screen.at-hdmi	HDMI socket {number}
displays.screen.at-vga	VGA socket {number}
displays.screen.built-in	Built-in screen
displays.screen.somewhere-else	Another screen
displays.size-out-of-range	{asked} is not a size a screen can be set to — choose between {least} and {most}
displays.size-rounded	{display} cannot draw at {asked}, so alo OS is using {used}, the nearest size it can
displays.the-other-desks-arrangement-is-kept	The arrangement you made at your other desk is still here for when you are back at it
displays.the-same-screen-twice	{display} is in this arrangement twice, so alo OS cannot tell where you meant to put it
displays.the-sun-does-not-rise	the sun does not rise where you are today, so your screens are being warmed all day — they will stop on the first morning it does
displays.the-sun-does-not-set	the sun does not set where you are today, so your screens are not being warmed — they will be again on the first evening it does
displays.told-apart-by-their-sockets	Two of your screens say exactly the same thing about themselves, so alo OS tells them apart by which socket each is plugged into — swapping their cables swaps the two
displays.windows-came-back	{display} is back, so what was open on it before has gone back to it
displays.windows-moved	{display} was unplugged, so what was open on it is now on {other}
displays.woke-to-other-screens	Your screens have changed since this machine went to sleep, so alo OS has set up the ones in front of you now
dividing.place.bottom-half	Bottom half
dividing.place.bottom-left-quarter	Bottom-left quarter
dividing.place.bottom-right-quarter	Bottom-right quarter
dividing.place.left-half	Left half
dividing.place.part	Part of the screen
dividing.place.right-half	Right half
dividing.place.top-half	Top half
dividing.place.top-left-quarter	Top-left quarter
dividing.place.top-right-quarter	Top-right quarter
dividing.refused.changed	the screen changed before the window was let go, so nothing has moved — drag it again
dividing.refused.no-neighbour	that edge is the edge of the screen, so there is no window beside it to make room for
dividing.refused.not-divided	this window is not part of the divided screen, so nothing has moved — drag it to an edge of the screen to add it
dividing.refused.nothing-to-share-with	there is no other window open to share the screen with, so nothing has moved
dividing.refused.too-narrow	this window cannot be made that narrow, so the screen has been left as it was
dividing.refused.too-short	this window cannot be made that short, so the screen has been left as it was
dock.edge.bottom	Bottom
dock.edge.left	Left
dock.edge.right	Right
dock.edge.top	Top
dock.kept.another-format	your dock settings at {path} were written for a different alo OS than this one, so nothing in the file has been used and the dock is where alo OS puts it
dock.kept.not-expressible	this alo OS could not write that change into dock settings at {path} it can read back again, so nothing about the dock has been changed
dock.kept.not-read	your dock settings at {path} could not be read, so the dock is where alo OS puts it
dock.kept.not-replaced	your dock settings at {path} could not be read, so that change has not been written over them and nothing about the dock has been changed — correct the file, or put the dock back as alo OS ships it
dock.kept.not-understood	your dock settings at {path} are not settings alo OS can read, so nothing in the file has been used and the dock is where alo OS puts it
dock.kept.not-understood-at	your dock settings at {path} stop making sense at line {line}, so nothing in the file has been used and the dock is where alo OS puts it
dock.kept.not-written	your dock settings at {path} could not be written, so nothing about the dock has been changed
dock.kept.unknown-key	your dock settings at {path} say {key}, which is not something alo OS can change about the dock, so nothing in the file has been used
dock.labels.beside	each icon has its name beside it
dock.labels.gave-way	there is no room for names at {percent}% text, so the dock shows icons — resting on one still gives its name, and a screen reader still reads it
dock.labels.under	each icon has its name under it
dock.screen.not-a-screen	a screen has a width and a height — {width} by {height} is not one
dock.screen.too-small	{width} by {height} is smaller than alo OS lays out for — a screen needs at least {least} each way, or the dock would take the screen rather than sit on it
egress.destination.nameless	say where this is going — an egress with nowhere named cannot be shown to anybody
egress.destination.not-printable	the address contains a character that cannot be shown — the indicator has to be readable in one line
egress.destination.nothing-leaves	an answer on this machine goes nowhere — ask whether the source causes egress before making a destination of it
egress.destination.paired-machine	{machine}, on your network
egress.destination.provider	{provider}, in {region}
egress.destination.provider-somewhere	{provider}, which has not said where it runs
egress.destination.too-long	that address is longer than an address can be — check it is a hostname and nothing more
egress.itself.checking-for-an-update	alo OS is checking for an update at {destination}
egress.itself.checking-for-application-updates	alo OS is checking for application updates at {destination}
egress.itself.fetching-a-model	alo OS is fetching a model from {destination}
egress.itself.fetching-an-update	alo OS is downloading an update from {destination}
egress.itself.installing-an-application	alo OS is installing an application from {destination}
egress.itself.nothing-else	alo OS reaches the network for these reasons and no others, and never to say anything about how you use this machine
egress.itself.signing-in	alo OS is signing you in at {destination}
egress.itself.updating-an-application	alo OS is updating an application from {destination}
egress.leaving.asking	{agent} is asking a question of {destination}
egress.leaving.fetching	{agent} is fetching something from {destination}
egress.leaving.sending	{agent} is sending something to {destination}
egress.policy.nothing-leaves	this machine is set to let nothing leave, and {destination} is somewhere else
egress.policy.outside-the-building	this machine is set to keep everything in the building, and {destination} is outside it
egress.policy.outside-the-region	this machine is set to reach {region} only, and {destination} does not meet that
enrolling.choose-a-passphrase	choose a passphrase you will type when this machine starts
enrolling.choose-a-pin	choose a PIN you will type when this machine starts
enrolling.it-is-already-open	this disk is already open
enrolling.no-chip-for-the-key	this machine has no security chip that can hold the key, so you will type a passphrase every time it starts
enrolling.no-passphrase-was-typed	type a passphrase to go on
enrolling.no-pin-was-typed	type a PIN to go on
enrolling.no-recovery-key-was-made	this machine could not make a recovery key, so its disk has not been encrypted
enrolling.no-such-part-of-the-disk	there is no such part of that disk
enrolling.part-of-this-machine-is-missing	part of this machine is missing, so its disk cannot be encrypted
enrolling.that-does-not-open-this-machine	that does not open this machine — try again, or use the key you wrote down
enrolling.that-is-not-a-disk	this machine cannot use the disk that was chosen
enrolling.that-is-not-the-key-shown	that is not the key on the screen — check it and try again
enrolling.that-is-part-of-a-disk	that is part of a disk rather than a whole one
enrolling.the-disk-is-encrypted	this machine's disk is encrypted
enrolling.the-key-was-not-typed-back	type the key back to go on
enrolling.the-passphrase-is-too-short	that passphrase is too short
enrolling.the-pin-is-too-short	that PIN is too short
enrolling.the-recovery-key-is-the-wrong-shape	the recovery key this machine made is not one it can show you, so its disk has not been encrypted
enrolling.the-two-passphrases-differ	the two passphrases are not the same
enrolling.the-two-pins-differ	the two PINs are not the same
enrolling.this-disk-is-not-encrypted	this disk is not an encrypted one
enrolling.this-machine-could-not-do-it	this machine could not do that to its disk
enrolling.type-it-back	type the key back, so we know you have it
enrolling.write-this-down	write this key down and keep it away from this machine
files.failed.already-in	{path} is already in that folder — nothing was moved
files.failed.already-there	there is already something at {path} — nothing here replaces a file that was not named, so choose another name
files.failed.gone	{path} was there when it was checked and is not there now — nothing was done, so ask again
files.failed.has-another-name	{path} is one of several names this machine has for the same file, and the others could be anywhere — so what is in it was not read. Make a copy and read that, or grant the folder the other name is in
files.failed.into-itself	the archive would be written inside {folder}, which is the folder it is an archive of — put it somewhere that is not inside it
files.failed.missing	{verb} was performed without {argument}, which it declares — this is a verb to write again, not a call to make again
files.failed.not-a-file	{path} is not a file — list it if it is a folder
files.failed.not-a-file-verb	nothing in the file half does {verb} — it lists, reads, finds, renames, moves and archives, and anything else is somewhere else's to do
files.failed.not-a-folder	{path} is not a folder — read it if it is a file, or list the folder it is in
files.failed.not-a-zip-name	call the archive something ending in .zip — alo OS makes zip archives, and a name saying otherwise would be a file whose name lies about what is in it
files.failed.not-text	{path} is not text — this verb answers with what a person could read, and reading this one needs an application that knows what it is
files.failed.the-machine-said-no	{path} could not be {doing} ({why}) — nothing else was attempted
files.failed.too-many	{folder} holds more than {most} things — archive one of the folders inside it instead, so that what is in the archive is something a person can still recognise
files.failed.too-much	{folder} holds more than {most} bytes and one archive holds at most that — archive one of the folders inside it instead
files.real.nothing	there is nothing at {path} — a verb reaches what is there, so name something that exists
files.real.unreadable	{path} could not be followed ({why}) — nothing is done to a path this machine cannot resolve
files.refused.really-leads-elsewhere	{path} really leads to {really} — a grant covers where a file is, not where a link to it sits, and {who} has not been granted where this one leads
files.refused.would-create	{verb} would put something at {path}, and {why} — a grant covers where a file goes, not only where it comes from
files.verb.archive-folder.argument.folder	the folder to make an archive of
files.verb.archive-folder.argument.into	the folder the archive goes into
files.verb.archive-folder.argument.name	what to call the archive, ending in .zip
files.verb.archive-folder.purpose	make one archive file out of a folder
files.verb.archive-folder.sentence	make an archive of {folder} called {name}, in {into}
files.verb.find-in-folder.argument.folder	the folder to look in
files.verb.find-in-folder.argument.most	how many files to answer with at most
files.verb.find-in-folder.argument.named	the words a file's name has to contain
files.verb.find-in-folder.purpose	find files in a folder by what they are called
files.verb.find-in-folder.sentence	find up to {most} files in {folder} whose name contains {named}
files.verb.list-folder.argument.folder	the folder to list
files.verb.list-folder.purpose	list what is in a folder
files.verb.list-folder.sentence	list what is in {folder}
files.verb.move-file.argument.file	the file to move
files.verb.move-file.argument.into	the folder it goes into
files.verb.move-file.purpose	move a file into a folder
files.verb.move-file.sentence	move {file} into {into}
files.verb.read-file.argument.file	the file to read
files.verb.read-file.purpose	read what is in a file
files.verb.read-file.sentence	read what is in {file}
files.verb.rename-file.argument.file	the file to rename
files.verb.rename-file.argument.name	what to call it instead
files.verb.rename-file.purpose	give a file a different name, where it already is
files.verb.rename-file.sentence	rename {file} to {name}
finding.contents.not-all-kept	More different words than the {most} an index keeps, so only the first {most} were kept.
finding.contents.not-read	Its words could not be read: {why}
finding.contents.not-text	Not a kind of file whose words can be read.
finding.contents.too-big	Larger than the {most} bytes an index reads, so its words were not read.
finding.kind.bytes	A file of a kind this machine does not know
finding.kind.empty	An empty file
finding.kind.folder	A folder
finding.kind.gif	A GIF image
finding.kind.jpeg	A JPEG image
finding.kind.link	A link
finding.kind.other	Something that is not a file or a folder
finding.kind.pdf	A PDF document
finding.kind.png	A PNG image
finding.kind.program	A program
finding.kind.text	Text
finding.kind.unread	A file that could not be read
finding.kind.zip	A zip archive
finding.list-not-kept	The list of indexed folders could not be written to {at}: {why}
finding.list-not-read	The list of indexed folders at {at} could not be read: {why}
finding.never-indexed	{at} was never indexed, so there is no index of it to search.
finding.not-a-list	{at} is not a list of indexed folders this machine can read: {why}
finding.not-absolute	{at} does not say where it is from the root of the machine, so it cannot be indexed.
finding.not-an-index	{at} is not an index this machine can read: {why}
finding.not-asked.longer-than-a-name	{chars} characters is longer than any file name, and a search takes at most {most}.
finding.not-asked.more-than-a-sentence	{words} words is more than a sentence, and a search takes at most {most}.
finding.not-asked.nothing	Nothing was asked, so nothing was searched: a search needs a name, a kind, a date or some words.
finding.not-kept	The index could not be written to {at}: {why}
finding.not-opened	The index at {at} could not be read: {why}
finding.not-removed	The index at {at} could not be removed: {why}
finding.not-searched.elsewhere	{below} is on another disk, so nothing in it was searched.
finding.not-searched.file-unread	{below} could not be read, so it was not searched: {why}
finding.not-searched.folder-unread	{below} could not be read, so nothing in it was searched: {why}
finding.not-searched.not-entered	The index stopped before it had finished {below}, so not all of it was searched.
finding.not-searched.outside	Nothing outside {folder} was searched.
finding.not-the-same-folder	The index at hand is of {indexed}, not of {asked}.
finding.not-walked	{at} could not be indexed. {why}
finding.nowhere-to-keep-it	There is no home directory to keep an index in.
finding.verb.missing	{verb} was performed without {argument}, which it declares — this is a verb to write again, not a call to make again
finding.verb.not-this-crates	nothing in the index does {verb} — it searches, and anything else is somewhere else's to do
finding.verb.search-files.argument.folder	the folder whose index to search
finding.verb.search-files.argument.named	the words a file's name has to contain
finding.verb.search-files.purpose	search the index of a folder for files by what they are called
finding.verb.search-files.sentence	search the index of {folder} for files whose name contains {named}
granted.already-gone	That grant is no longer held: it has expired or was already revoked. Nothing was changed — the list here was out of date, so look at it again
granted.nothing-granted	Nothing is granted right now. No agent and no application has been granted anything on this machine, and there is nothing here to revoke
granted.one-grant	{who} has been granted {what}
granted.revoked	The grant was revoked. It has already stopped: the next thing asked under it is refused, with nothing to wait for
greeting.accounts-unreadable	Nobody can sign in here: this machine's list of accounts is there and cannot be trusted to be read. Whoever installed this machine has to put that right
greeting.make-an-account	Nobody has an account on this machine yet. Make one to sign in — the account you make here is this machine's own, and it is not sent anywhere
greeting.nothing-listening	Signing in did not finish: the part of this machine that starts a session is not running. Nothing you typed was wrong
greeting.nothing-said	Signing in did not finish: the part of this machine that starts a session was reached and did not answer. Nothing you typed was wrong
handing.offered-for-this-question	offered for this question only — the agent has not been given the file, or the folder it is in
handing.refused.did-not-hand-it-over	the application this came from did not hand it over, so nothing has moved
handing.refused.not-a-file-list	these files could not be handed over, because the application they came from did not say properly which files they were
handing.refused.not-that-form	this cannot be handed over in that form, so nothing has moved
handing.refused.nothing-here	there is nothing here to drop this on, so it has stayed where it was
handing.refused.the-question-is-over	the question this was dropped into is over, so it has not been read
handing.refused.will-not-take-it	this window does not take what you dropped on it, so nothing has moved
handing.would.ask-about-this	Ask about this
handing.would.copy-here	Copy here
handing.would.move-here	Move here
handing.would.not-take-it	This window does not take this
in-use.alo-os-itself	alo OS itself
in-use.no-answer	What is watching or listening cannot be shown: the part of alo OS that handles sound and video did not answer. Sign out and back in to start it again
in-use.not-understood	What is watching or listening cannot be shown: the part of alo OS that handles sound and video answered something this machine could not read. Report this, because what is watching or listening cannot be trusted until it is fixed
in-use.nothing-handles-sound-and-video	What is watching or listening cannot be shown: the part of alo OS that handles sound and video is not running. Sign out and back in, and this comes back with it
in-use.nothing-is-in-use	Nothing is watching or listening right now
in-use.something-on-this-machine	something on this machine
in-use.the-agent	{agent}, the agent on this machine
in-use.the-camera	The camera is in use by {who}
in-use.the-microphone	The microphone is in use by {who}
in-use.the-screen	The screen is in use by {who}
indicator.no-compositor	What is leaving this machine cannot be shown: the desktop is not running. Sign in to the desktop, and the indicator appears with it
indicator.nothing-is-leaving	Nothing is leaving this machine right now
indicator.nothing-to-show-on	What is leaving this machine cannot be shown: no screen is connected. Connect a screen, and the indicator appears on it
installer.adding-the-entry	Adding alo OS to the systems this computer can start
installer.already-started	An earlier start of this installer left its area or its entry on this computer, so nothing was changed
installer.answer.leave-on	leave on
installer.answer.turn-off	turn off
installer.ask.fast-startup	Windows' Fast Startup is on. It can make Windows and alo OS disagree about the disk. Turn it off? (Recommended when sharing a disk.)
installer.ask.type-one-of-these-answers	Type {off} or {on}, and press Enter
installer.bitlocker-changing	BitLocker is still encrypting or decrypting Windows on {volume}, so nothing was changed. Run this installer again when it has finished
installer.checking-the-computer	Checking this computer. This only reads, and changes nothing
installer.checking-the-download	Checking that this download is a genuine alo OS
installer.copying-the-installer	Copying the installer into its area, and checking the copy
installer.default.change-it	change
installer.default.changed	Done. This computer now starts the other system when nobody chooses, and you can change it      back here or in alo OS's own settings
installer.default.is	This computer starts {system} when nobody chooses at the start-up menu
installer.default.kept	Nothing was changed, and this computer starts the same system it did
installer.default.not-reached	The part of the disk this computer starts from could not be reached, so nothing was changed
installer.default.not-read	Which system this computer starts could not be read or changed, so nothing was changed
installer.default.not-there	This computer keeps no choice of which system starts, so there is nothing to change here.      Nothing was changed
installer.default.starting	This shows which system this computer starts when nobody chooses, and can change it
installer.default.type-to-change	To make this computer start {system} instead, type {change} and press Enter. To leave it as      it is, press Enter without typing anything
installer.disks-not-read	The disks in this computer could not be read, so nothing was changed
installer.entries-not-read	The list of systems this computer can start could not be read, so nothing was changed
installer.fast-startup-left-on	Windows' Fast Startup is being left on, and nothing about it is changed
installer.found.a-disk-for-alo-os	The disk {disk} ({size} GB) is empty, and alo OS can be installed onto it
installer.found.a-disk-in-use	The disk {disk} ({size} GB) already holds files or a system, so alo OS does not use it
installer.found.a-disk-not-usable	The disk {disk} ({size} GB) cannot be written to, or is connected in a way this installer does not recognise yet, so alo OS does not use it
installer.found.a-disk-too-small	The disk {disk} ({size} GB) is smaller than the {least} GB alo OS needs
installer.found.bitlocker-changing	BitLocker is encrypting or decrypting Windows on {volume} right now
installer.found.bitlocker-not-read	Whether Windows on {volume} is encrypted with BitLocker could not be found out
installer.found.bitlocker-off	Windows on {volume} is not encrypted with BitLocker
installer.found.bitlocker-on	Windows on {volume} is encrypted with BitLocker. It stays encrypted, and the installer does not read what is on it
installer.found.fast-startup-not-read	Whether Windows' Fast Startup is on could not be found out
installer.found.fast-startup-off	Windows' Fast Startup is off
installer.found.fast-startup-on	Windows' Fast Startup is on
installer.found.little-memory	This computer has {memory} GB of memory. alo OS is made for 16 GB or more, and is slow with less
installer.found.memory	This computer has {memory} GB of memory
installer.found.memory-not-read	How much memory this computer has could not be found out
installer.found.no-tpm	This computer has no security chip (TPM)
installer.found.not-uefi	This computer starts in the older BIOS way
installer.found.secure-boot-not-read	Whether Secure Boot is on could not be found out
installer.found.secure-boot-off	Secure Boot is off
installer.found.secure-boot-on	Secure Boot is on
installer.found.space	Windows on {volume} has {free} GB free of {size} GB
installer.found.starting-not-read	How this computer starts could not be found out
installer.found.tpm-not-read	Whether this computer has a security chip (TPM) could not be found out
installer.found.tpm-not-ready	This computer has a security chip (TPM), and it is not ready for use
installer.found.tpm-ready	This computer has a security chip (TPM), and it is ready
installer.found.uefi	This computer starts with UEFI, which alo OS needs
installer.found.windows-disk	Windows is on the disk {disk} ({size} GB)
installer.genuine	This download is a genuine alo OS
installer.incomplete	This download is incomplete, so nothing was changed. Download alo OS again
installer.leaving-the-way-back	Putting a program in the Start menu that restarts this computer into alo OS
installer.making-the-area	Making the installer's area on the disk {disk}
installer.no-disk-for-alo-os	This computer has no empty disk of at least {least} GB beside the one Windows is on, and this installer puts alo OS on a disk of its own, so nothing was changed
installer.not-a-disks-name	What was typed is not the name of a disk alo OS can be installed onto, so nothing was changed
installer.not-agreed	You stopped the installer, so nothing was changed
installer.not-an-administrator	This installer needs permission to change how this computer starts, so nothing was changed. Start it again by choosing Run as administrator
installer.not-enough-space	Windows on {volume} needs {needed} GB free for this and has {free} GB, so nothing was changed
installer.not-genuine	This download is not a genuine alo OS, so nothing was changed
installer.not-put-back	Preparing this computer did not finish, and not everything could be put back. Windows still starts. This remains:
installer.not-uefi	alo OS needs a computer that starts with UEFI, and this one starts in the older BIOS way, so nothing was changed
installer.nothing-changed-yet	Nothing on this computer has been changed yet. If you agree, this is what happens, in this order:
installer.press-enter-to-close	Press Enter to close this window
installer.put-back	Preparing this computer did not finish. Everything that was changed has been put back, so nothing was changed
installer.putting-it-back	Something went wrong, so everything changed so far is being put back
installer.remains.fast-startup-off	Windows' Fast Startup is still off. You can turn it back on in Windows' own power settings
installer.remains.smaller	Windows on {volume} is {area} GB smaller than it was
installer.remains.the-area	An area labelled ALO-INSTALL remains on the disk {disk}
installer.remains.the-entry	An entry named alo OS remains among the systems this computer can start
